City name,Date time,First quarter,Second quarter,Third quarter,Fourth quarter
New York,"08/01/2023, 13:53:39",0,0,0,0
Kail,"08/01/2023, 13:53:42",0,1.045,3.5304000000000006,0.2066
Budapest,"08/01/2023, 13:53:44",0,0,0,0
Leonberg,"08/01/2023, 13:55:04",0,0,0,0
Regensburg,"08/01/2023, 13:55:27",6.001,4.4062,0,0
Hecla Island,"08/01/2023, 13:56:05",0,0,0,0
Teulon,"08/01/2023, 13:56:39",284.6666,0,0,0
Alexanderhof,"08/01/2023, 13:58:05",10.887799999999999,7.408,0,0
Gustow,"08/01/2023, 13:58:14",0,0,0,0
Blindow,"08/01/2023, 13:58:24",12.118,10.054400000000001,0,0
Lebehn,"08/01/2023, 13:58:35",33.1946,30.144,29.232,4.308
Budapest,"08/01/2023, 14:00:03",0,0,0,0
Potzlow,"08/01/2023, 14:00:21",2.3611999999999997,0,0,0
Potzlow,"08/01/2023, 14:00:40",2.3611999999999997,0,0,0
Kail,"08/01/2023, 14:00:42",0,1.045,3.5304000000000006,0.2066
Regensburg,"08/01/2023, 14:00:59",6.001,4.4062,0,0
Es,"08/01/2023, 14:01:01",0,0,0,0
Budapest,"08/01/2023, 14:06:45",0,0,0,0
